epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.8852,0.47497,0.77083,1,0.44097,0.00048523,0.00048523,0.00048523
2,39.282,0.29874,0.87847,1,0.29848,0.000958991,0.000958991,0.000958991
3,54.0721,0.23898,0.93403,1,0.26143,0.0014133,0.0014133,0.0014133
4,68.1447,0.20879,0.95139,1,0.32023,0.00156836,0.00156836,0.00156836
5,82.6898,0.22723,0.93403,1,0.30253,0.00153548,0.00153548,0.00153548
6,96.3617,0.19803,0.94792,1,0.25898,0.00150261,0.00150261,0.00150261
7,110.749,0.18852,0.90278,1,0.30251,0.00146973,0.00146973,0.00146973
8,124.416,0.16515,0.96528,1,0.25037,0.00143685,0.00143685,0.00143685
9,137.892,0.17435,0.95139,1,0.26238,0.00140397,0.00140397,0.00140397
10,153.258,0.16657,0.96528,1,0.27245,0.00137109,0.00137109,0.00137109
11,167.817,0.15914,0.9375,1,0.31252,0.00133821,0.00133821,0.00133821
12,182.553,0.17707,0.92361,1,0.27156,0.00130533,0.00130533,0.00130533
13,196.094,0.16868,0.95139,1,0.29239,0.00127245,0.00127245,0.00127245
14,210.44,0.18415,0.97222,1,0.23956,0.00123957,0.00123957,0.00123957
15,222.616,0.1405,0.93403,1,0.30688,0.0012067,0.0012067,0.0012067
16,237.207,0.16112,0.94444,1,0.22694,0.00117382,0.00117382,0.00117382
17,252.249,0.13433,0.94097,1,0.2323,0.00114094,0.00114094,0.00114094
18,266.741,0.13867,0.94097,1,0.26344,0.00110806,0.00110806,0.00110806
19,281.163,0.13623,0.92014,1,0.3528,0.00107518,0.00107518,0.00107518
20,294.231,0.1344,0.96875,1,0.2233,0.0010423,0.0010423,0.0010423
21,308.477,0.13555,0.94097,1,0.26352,0.00100942,0.00100942,0.00100942
22,322.84,0.12553,0.95139,1,0.22973,0.000976543,0.000976543,0.000976543
23,336.439,0.11264,0.95139,1,0.23387,0.000943664,0.000943664,0.000943664
24,350.631,0.10073,0.95833,1,0.22087,0.000910785,0.000910785,0.000910785
25,364.421,0.14448,0.9375,1,0.23751,0.000877906,0.000877906,0.000877906
26,378.498,0.12146,0.96528,1,0.18651,0.000845027,0.000845027,0.000845027
27,392.006,0.094,0.96875,1,0.18858,0.000812148,0.000812148,0.000812148
28,406.119,0.10551,0.95833,1,0.19235,0.000779269,0.000779269,0.000779269
29,419.633,0.09853,0.95139,1,0.20331,0.000746391,0.000746391,0.000746391
30,433.507,0.07624,0.95833,1,0.23218,0.000713512,0.000713512,0.000713512
31,445.422,0.07013,0.94097,1,0.25527,0.000680633,0.000680633,0.000680633
32,458.955,0.10432,0.94792,1,0.23255,0.000647754,0.000647754,0.000647754
33,472.197,0.10546,0.96528,1,0.2037,0.000614875,0.000614875,0.000614875
34,485.962,0.1072,0.94097,1,0.22307,0.000581996,0.000581996,0.000581996
35,499.791,0.09966,0.92361,1,0.29106,0.000549117,0.000549117,0.000549117
36,513.427,0.09791,0.95833,1,0.22918,0.000516238,0.000516238,0.000516238
37,526.613,0.1054,0.94444,1,0.28103,0.000483359,0.000483359,0.000483359
38,540.795,0.09194,0.94792,1,0.2585,0.00045048,0.00045048,0.00045048
39,554.277,0.08702,0.95139,1,0.24891,0.000417602,0.000417602,0.000417602
40,567.075,0.08283,0.96528,1,0.22163,0.000384723,0.000384723,0.000384723
41,587.822,0.10285,0.95139,1,0.24888,0.000351844,0.000351844,0.000351844
42,603.415,0.0782,0.96181,1,0.22452,0.000318965,0.000318965,0.000318965
43,618.646,0.06889,0.95833,1,0.2285,0.000286086,0.000286086,0.000286086
44,633.748,0.09167,0.95139,1,0.23392,0.000253207,0.000253207,0.000253207
45,648.605,0.07508,0.95139,1,0.23677,0.000220328,0.000220328,0.000220328
46,664.198,0.08043,0.96181,1,0.21711,0.000187449,0.000187449,0.000187449
47,678.482,0.06015,0.96528,1,0.21889,0.00015457,0.00015457,0.00015457
48,694.06,0.05752,0.96875,1,0.22358,0.000121691,0.000121691,0.000121691
49,710.484,0.08133,0.96875,1,0.22517,8.88124e-05,8.88124e-05,8.88124e-05
50,725.33,0.07281,0.96875,1,0.22412,5.59335e-05,5.59335e-05,5.59335e-05
