                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.04575,                  1.471,                 1.3784,                0.83062,                0.27267,                0.42818,                0.26788,                0.03521,                 1.1206,                 1.0975,             0.00021648,             0.00021648,             0.00021648
                      2,                0.03232,                0.65346,                 1.0743,                0.76556,                0.75195,                0.84239,                 0.5244,                0.02927,                0.53302,                 1.0131,             0.00042726,             0.00042726,             0.00042726
                      3,                0.02985,                0.51155,                 1.0293,                0.86189,                0.85425,                0.90498,                0.62977,                0.02634,                0.36354,                0.94571,             0.00056473,             0.00056473,             0.00056473
                      4,                0.02907,                 0.4681,                 1.0111,                0.87869,                0.85877,                0.91392,                0.63141,                0.02578,                0.34825,                0.94275,             0.00055309,             0.00055309,             0.00055309
                      5,                0.02726,                0.42479,                0.98501,                0.86656,                0.91774,                0.92059,                0.66565,                 0.0247,                0.30161,                0.91686,             0.00054146,             0.00054146,             0.00054146
                      6,                0.02686,                0.40576,                0.97533,                0.93606,                0.91863,                0.94437,                0.69128,                0.02418,                 0.2779,                0.91554,             0.00052982,             0.00052982,             0.00052982
                      7,                0.02609,                0.37813,                0.96531,                0.92109,                 0.9092,                0.94279,                0.70696,                0.02321,                0.26913,                0.90642,             0.00051819,             0.00051819,             0.00051819
                      8,                0.02543,                0.36186,                0.95649,                0.92182,                0.94291,                0.95374,                0.71165,                0.02312,                0.26285,                0.90338,             0.00050655,             0.00050655,             0.00050655
                      9,                0.02536,                0.35183,                0.95509,                0.91832,                0.91202,                0.95697,                 0.7245,                0.02312,                0.26669,                0.91013,             0.00049492,             0.00049492,             0.00049492
                     10,                0.02507,                0.34288,                0.95051,                0.93729,                0.92029,                0.94491,                0.70493,                0.02316,                0.25738,                0.90284,             0.00048328,             0.00048328,             0.00048328
                     11,                0.02517,                0.33161,                0.94933,                0.92889,                0.92585,                0.95329,                0.71557,                0.02294,                0.24965,                0.90224,             0.00047164,             0.00047164,             0.00047164
                     12,                0.02476,                0.32367,                0.94302,                0.95972,                0.90873,                0.96605,                0.73393,                0.02236,                0.23951,                0.89341,             0.00046001,             0.00046001,             0.00046001
                     13,                0.02433,                0.31177,                0.93641,                0.93347,                0.92456,                0.95307,                0.73151,                0.02176,                0.23487,                0.88893,             0.00044837,             0.00044837,             0.00044837
                     14,                0.02433,                0.30465,                0.93412,                0.96751,                0.93748,                0.96535,                0.74261,                0.02206,                 0.2387,                0.88774,             0.00043674,             0.00043674,             0.00043674
                     15,                 0.0239,                0.30047,                0.93078,                0.95736,                0.93334,                0.96363,                0.73929,                0.02193,                0.23055,                0.88552,              0.0004251,              0.0004251,              0.0004251
                     16,                0.02355,                0.28852,                0.92489,                0.94063,                0.92054,                0.96663,                0.73663,                0.02219,                 0.2306,                0.89589,             0.00041347,             0.00041347,             0.00041347
                     17,                0.02371,                0.29155,                 0.9315,                 0.9332,                0.95027,                0.96455,                0.73173,                  0.022,                0.23096,                0.89185,             0.00040183,             0.00040183,             0.00040183
                     18,                0.02351,                0.28658,                0.92795,                0.94734,                 0.9554,                0.96943,                 0.7437,                0.02229,                0.21981,                 0.8903,              0.0003902,              0.0003902,              0.0003902
                     19,                0.02353,                0.27721,                0.92643,                0.94294,                0.94736,                0.96586,                 0.7467,                0.02185,                0.22193,                0.88682,             0.00037856,             0.00037856,             0.00037856
                     20,                0.02318,                0.27387,                0.92065,                0.95461,                0.94882,                 0.9631,                0.75331,                0.02118,                0.21566,                0.88496,             0.00036692,             0.00036692,             0.00036692
                     21,                0.02329,                0.27183,                0.92503,                0.96754,                0.93633,                0.97109,                0.75962,                0.02108,                0.21795,                0.88513,             0.00035529,             0.00035529,             0.00035529
                     22,                0.02324,                0.26757,                0.92362,                0.97255,                  0.952,                 0.9661,                0.75566,                 0.0213,                  0.215,                0.88211,             0.00034365,             0.00034365,             0.00034365
                     23,                0.02295,                0.26368,                0.91633,                0.97526,                0.96353,                0.98674,                0.76151,                0.02163,                0.20939,                0.88265,             0.00033202,             0.00033202,             0.00033202
                     24,                0.02271,                 0.2588,                0.91819,                0.95326,                0.94593,                0.96784,                0.75409,                0.02115,                0.20664,                0.88031,             0.00032038,             0.00032038,             0.00032038
                     25,                0.02253,                 0.2569,                0.91369,                 0.9635,                0.94881,                0.97212,                0.75799,                0.02091,                0.20389,                0.87474,             0.00030875,             0.00030875,             0.00030875
                     26,                0.02263,                0.25487,                0.91758,                0.92693,                0.95989,                0.94924,                 0.7423,                0.02139,                0.21044,                0.88779,             0.00029711,             0.00029711,             0.00029711
                     27,                0.02246,                0.25178,                0.91272,                0.97878,                0.97724,                0.98779,                0.77371,                0.02071,                0.19979,                0.87528,             0.00028547,             0.00028547,             0.00028547
                     28,                0.02224,                0.24572,                 0.9085,                0.96112,                0.95657,                0.97673,                0.76895,                0.02072,                 0.1998,                 0.8741,             0.00027384,             0.00027384,             0.00027384
                     29,                0.02212,                0.24563,                0.90723,                0.95632,                0.94634,                0.95969,                0.75151,                0.02086,                0.20123,                0.87713,              0.0002622,              0.0002622,              0.0002622
                     30,                0.02224,                0.24147,                0.90445,                0.95866,                0.94865,                0.96557,                0.75558,                0.02066,                 0.1955,                0.87703,             0.00025057,             0.00025057,             0.00025057
                     31,                0.02208,                0.24036,                0.90913,                0.98017,                0.95204,                0.97154,                 0.7729,                0.02057,                0.19654,                0.87051,             0.00023893,             0.00023893,             0.00023893
                     32,                0.02197,                0.23731,                0.90317,                0.94256,                0.95913,                0.97071,                0.76707,                0.02041,                0.19558,                0.87469,              0.0002273,              0.0002273,              0.0002273
                     33,                0.02193,                0.23658,                0.90445,                0.96722,                 0.9743,                0.98482,                0.76166,                 0.0204,                0.18884,                0.87157,             0.00021566,             0.00021566,             0.00021566
                     34,                0.02167,                 0.2302,                0.90017,                0.95187,                0.97958,                0.98768,                0.77335,                0.02046,                0.19138,                 0.8704,             0.00020403,             0.00020403,             0.00020403
                     35,                0.02165,                0.22945,                0.89773,                0.95188,                0.95926,                0.97603,                0.77383,                0.02033,                0.18927,                0.87064,             0.00019239,             0.00019239,             0.00019239
                     36,                0.02171,                0.22938,                 0.8997,                0.96464,                0.96444,                0.98326,                0.77876,                0.02019,                0.18908,                0.86652,             0.00018075,             0.00018075,             0.00018075
                     37,                0.02146,                0.22665,                0.89569,                0.96579,                0.94996,                 0.9706,                0.77316,                0.02024,                0.18641,                0.86932,             0.00016912,             0.00016912,             0.00016912
                     38,                0.02145,                0.22341,                0.89697,                0.96313,                0.96502,                0.97846,                0.77587,                0.02035,                0.18919,                0.87207,             0.00015748,             0.00015748,             0.00015748
                     39,                0.02151,                0.22525,                0.89844,                0.96104,                0.95414,                0.96923,                0.77341,                0.02008,                 0.1826,                0.87027,             0.00014585,             0.00014585,             0.00014585
                     40,                0.02129,                0.22217,                0.89545,                0.95957,                0.95677,                 0.9667,                0.76985,                0.01997,                0.18284,                0.87045,             0.00013421,             0.00013421,             0.00013421
                     41,                0.02061,                0.21056,                 0.8839,                 0.9569,                0.96309,                0.97062,                0.77055,                0.02002,                0.18075,                0.86917,             0.00012258,             0.00012258,             0.00012258
                     42,                0.02084,                0.21209,                0.88396,                0.97678,                0.94811,                0.97341,                0.77355,                0.02018,                0.18253,                0.86919,             0.00011094,             0.00011094,             0.00011094
                     43,                0.02055,                0.20845,                0.88141,                0.97057,                0.95722,                0.97138,                 0.7795,                0.01984,                0.17807,                0.86698,             9.9306e-05,             9.9306e-05,             9.9306e-05
                     44,                0.02029,                0.20567,                0.88095,                0.96108,                0.95266,                0.97277,                0.77877,                0.01958,                0.17893,                0.86268,              8.767e-05,              8.767e-05,              8.767e-05
                     45,                0.02036,                0.20665,                0.87788,                0.96408,                 0.9523,                0.96933,                 0.7818,                0.01956,                 0.1768,                0.86547,             7.6035e-05,             7.6035e-05,             7.6035e-05
                     46,                0.02041,                0.20537,                 0.8803,                0.96222,                0.94863,                0.96931,                0.77953,                0.01987,                0.17661,                0.86828,             6.4399e-05,             6.4399e-05,             6.4399e-05
                     47,                0.02021,                0.20335,                0.87815,                0.96811,                0.95433,                0.97533,                0.77959,                0.01966,                0.17547,                0.86464,             5.2763e-05,             5.2763e-05,             5.2763e-05
                     48,                0.02044,                0.20377,                0.87953,                0.96381,                0.95507,                0.97177,                0.77957,                0.01953,                0.17545,                0.86386,             4.1128e-05,             4.1128e-05,             4.1128e-05
                     49,                0.02012,                0.20009,                0.87825,                 0.9619,                 0.9539,                0.96891,                0.77897,                0.01949,                0.17255,                0.86351,             2.9492e-05,             2.9492e-05,             2.9492e-05
                     50,                0.02005,                0.20141,                0.87681,                0.96791,                0.95456,                 0.9697,                0.77979,                 0.0195,                0.17317,                0.86392,             1.7857e-05,             1.7857e-05,             1.7857e-05
